proverb	topic
В рот тебе хлеба!	Брань — Привет
В рот те на грош! (Шуточ.)	Брань — Привет
В рот те пирогов; в рот те каши с малиной!	Брань — Привет
Поднести хлеб-соль. Встретить хлебом-солью (для привета, в  знак покорности и пр.).	Брань — Привет
Просим милости, откушать зелена вина, отведать хлеба-соли.	Брань — Привет
Милости прошу к нашему шалашу: я пирогов покрошу и откушать  попрошу.	Брань — Привет
С двумя полями сжатыми, с третьим засеянным (поздравление в  пожинках).	Брань — Привет
Сто тебе быков, пятьдесят меринов: на речку бы шли да  помыкивали, а речки шли поигрывали (побрыкивалн).	Брань — Привет
С праздником! Поздравляю с праздником! (В насмешку, по  случаю неприятности.) С	Брань — Привет
С нового году всех (таких-то) в воду.	Брань — Привет
Здорово заговелись, на хрен, на редьку, на кислу капусту.	Брань — Привет
Продлись наша маслена до воскресного дня.	Брань — Привет
За здоровье лошадей, что возят милых гостей.	Брань — Привет
За здоровье глаз, что пленили нас (что глядят на нас).	Брань — Привет
За здоровье того, кто любит кого.	Брань — Привет
На погибель тому, кто завидует кому.	Брань — Привет
За здоровье тамошних и здешних и всех наших присердечных.	Брань — Привет
Здравствуй ты, здравствуй я, здравствуй, милая моя!	Брань — Привет
Тому лопни глаз, кто не любит нас!	Брань — Привет
Жить, богатеть, добра наживать, лихо избывать.	Брань — Привет
За здоровье тех (того), кто любит всех (кого).	Брань — Привет
Добру расти, худу по норам ползти. Добро кверху, а худо ко  дну.	Брань — Привет
Привет за привет и любовь за любовь, а завистливому — хрену  да перцу, и то не с нашего стола.	Брань — Привет
Всем гостям по сту лет, хозяину двести, да всем бы вместе.	Брань — Привет
Одеже пропадать, на плечах бы тлеть, а могучим плечам  добреть да добреть.	Брань — Привет
Всем бы денежкам вашим покатом со двора, а на их место сто  на сто.	Брань — Привет
Болести в землю, могута в тело, а душа заживо к богу.	Брань — Привет
Будь здорова, моя черноброва! Дай, боже, чтобы все было  гожс!	Брань — Привет
Твоими бы устами мед пить. Накажи бог, да добром.	Брань — Привет
Кто не выпил до дна, не пожелал добра.	Брань — Привет
Легки ли, девушка, твои встречи? (Спрашивается при встрече  на выходах куда.)	Брань — Привет
В долгий век и в добрый час. Тишь да лад, да божья  благодать.	Брань — Привет
Дай бог в честь да в радость!	Брань — Привет
Будь здорова, как корова, плодовита, как свинья.	Брань — Привет
Будь здорова, как вода, богата, как земля, плодовита, как  свинья.	Брань — Привет
Будь тучна, как земля, плодовита, как свинья.	Брань — Привет
Жить да богатеть, да спереди горбатеть.	Брань — Привет
Сколько в поле пеньков, столько б вам сынков, а сколько  кочек, столько б дочек.	Брань — Привет
Дай бог, чтоб пилось да елось, а служба на ум не шла  (солдат.).	Брань — Привет
Дай бог вам здоровье да капральский (генеральский) чин.	Брань — Привет
Дай бог и вам то же (того же). Дай бог вам сугубо (троицею,  десятерицею).	Брань — Привет
Хлеб-соль есть на столе, а руки сво(е)и.	Брань — Привет
Бью челом, да солью, да третьей любовью (слово хозяина  гостям).	Брань — Привет
Челом бьем на хлебе да на соли.	Брань — Привет
На хлебе, на соли да на добром слове (благодарим).	Брань — Привет
Чтоб вам дал господь, всякое б доброе так лилось (как  вылитая наземь рюмка вина).	Брань — Привет
Спороди мне молодца: станом в меня, белым личиком в себя,  очи ясны в сокола, брови черны в соболя (заздравное причитание хозяина  хозяйке).	Брань — Привет
В божью славу, в тук да в сало, в буйну голову; вам испить,  а мне челом ударить.	Брань — Привет
Сто лет, да двадцать, да маленьких пятнадцать.	Брань — Привет
Продли бог (веку) на сорок сороков.	Брань — Привет
Здорово, дед, на сто лет.	Брань — Привет
Помилуй тя и сохрани господь на сто лет со днем (на сто лет  со прилетками).	Брань — Привет
Что в Москве в торгу, чтоб было у тебя в долгу (в дому).	Брань — Привет
Вашим пожиткам дай бог нажитки (прибытки).	Брань — Привет
Жить сто годов, нажить сто коров, меринов стаю, овец хлев,  свиней подмостье, кошек шесток, собак подстолье.	Брань — Привет
Дай бог с нами пожить да хлеб-соль поводить.	Брань — Привет
Кабы с вашей легкой руки разжиться.	Брань — Привет
Твои бы речи да богу в уши.	Брань — Привет
Дай тебе, господи, с нашей руки куль муки!	Брань — Привет
Из колоса осмина, из зерна коврыга.	Брань — Привет
Рубль да денежка, да красна девушка.	Брань — Привет
В поле ужином, в гумне умолотом, в засеке спором, в квашне  всходом.	Брань — Привет
Уроди бог хлеба: солома в оглоблю, колос в дугу, зерно в  напалок (набалдашник).	Брань — Привет
Дай бог носить не переносить, возить не перевозить  (пожелание при счете денег).	Брань — Привет
Дай море, с берегом ровно, донышко серебряно (ковш с пивом и  монетой; свадеб.).	Брань — Привет
По сту на день, по тысяче на неделю (привет молотильщикам).	Брань — Привет
Спорынья в квашню (привет бабе, когда хлебы месит, а ответ:  Сто рублей в мошну!).	Брань — Привет
Чтобы платьице тонело (обнова), а хозяюшка его добрела.	Брань — Привет
Дай бог износить (обнову), да лучше нажить.	Брань — Привет
Дай бог нажить (наживать), не прожить (не проживать).	Брань — Привет
Так бы платьице мылось, как бы вовсе не носилось.	Брань — Привет
Беленько тебе! (Привет прачке.)	Брань — Привет
Круто выжимает, дружка поджидает.	Брань — Привет
Море под коровой (привет дойнице). Река молока (ответ).	Брань — Привет
Ведром тебе! Маслом цедить, сметаной доить (подойнице).	Брань — Привет
Свеженько тебе (девке, которая воду черпает).	Брань — Привет
Здорово ль парился? (Идущему из бани.)	Брань — Привет
На пару, на баньке, на веничках! (Благодарят за баню.)	Брань — Привет
Никола в путь, Христос по дорожке (отплывающим на судах).	Брань — Привет
На шута потягуши, на тебя поростуши (кто тянется).	Брань — Привет
Шла баба из заморья, несла кузов здоровья, тому сему  кусочек, тебе весь кузовочек.	Брань — Привет
Вода б книзу, а сама б ты кверху (в бане).	Брань — Привет
Сорочке б тонеть, а тебе бы добреть (толстеть).	Брань — Привет
С гуся вода, с тебя худоба, на пустой лес, на большую воду.	Брань — Привет
С гуся вода, с лебедя вода, а с тебя, мое детятко, вся  худоба (когда спрыскивают в болезни водою).	Брань — Привет
Смыть с себя художества, намыть хорошества.	Брань — Привет
Улов на рыбу (привет рыболову). Навар на ушицу (ответ его).	Брань — Привет
Ловися рыбка малая и большая!	Брань — Привет
Прощенья просим! На свиданье прощаемся.	Брань — Привет
Здравствуй ты, многолетствуй я, ночевать пусти к своей  милости.	Брань — Привет
Челом четырем, а пятому помогай бог!	Брань — Привет
Каков привет, таков и ответ.	Брань — Привет
На добрый привет добрый и ответ.	Брань — Привет
Путь вам чистый (на дорогу) счастливо!	Брань — Привет
Мир вам, и я к вам! Старый знакомый, снова здорово!	Брань — Привет
Радость по радости — Макар с товарищи.	Брань — Привет
Ай же ребята (двусмысленная похвала).	Брань — Привет
Святая душа на костылях (род приветствия, после долгой  разлуки).	Брань — Привет
Сколько лет, сколько зим (т. е. не виделись).	Брань — Привет
Первый поклон богу, второй хозяину с хозяйкой, третий всем  добрым людям.	Брань — Привет
Засим писавый кланяюсь.	Брань — Привет
Кланяйся своим, да не забывай и наших.	Брань — Привет
Кланяйся нашим, как увидишь своих.	Брань — Привет
Приказали кланяться, да не велели чваниться.	Брань — Привет
Помогай бог и нашим и вашим!	Брань — Привет
Сведи бог вас и накорми нас!	Жених — Невеста
Человек по сердцу — половина венца.	Жених — Невеста
Невольная женитьба не веселье.	Жених — Невеста
Чуж чуженин, а стал семьянин (зять).	Жених — Невеста
Пара не пара, марьяж дорогой.	Жених — Невеста
Жених да невеста парочка, что твой баран да ярочка.	Жених — Невеста
Любо глядеть, как девка с парнем идет.	Жених — Невеста
Сладко, сладко жених прислал, а слаще того сам привезет.	Жених — Невеста
Яблочко на яблоньке — то ты у меня; перстень на руке — то я  у тебя.	Жених — Невеста
Не кормил, не поил, а целует.	Жених — Невеста
Дочь — чужая добыча. Дочь — отцу, матери не корысть (не  кормилица).	Жених — Невеста
Ключница чужому отцу, ларешница чужой матери (молодая).	Жених — Невеста
Жениться — беда, не жениться — другая, а третья беда — не  отдадут за меня.	Жених — Невеста
Жениться — с людьми расплатиться (или: распроститься).	Жених — Невеста
Лучше жениться, чем волочиться.	Жених — Невеста
Жениться скорее — в дому прибыльнее.	Жених — Невеста
Жена моя полсела для меня.	Жених — Невеста
Не на то родился, чтоб на худой женился.	Жених — Невеста
Кто хочет жениться, тому и ночь не спится.	Жених — Невеста
Иссушила молодца чужая девичья краса.	Жених — Невеста
Ахти мне, кабы девка мне! При девушке я живой бы человек.	Жених — Невеста
Не женат — не человек. Холостой — полчеловека.	Жених — Невеста
Молодец женится, а во сне ему бредится: не платить бы  попятного.	Жених — Невеста
Быть ему нынче на божьем суду (т. е. венчаться).	Жених — Невеста
Где бог велит, там и берите (ответ парня на вопрос  родителей, какую девку за него сватать).	Жених — Невеста
Жениху много на ум идет. Мало ли что жениху на ум приходит.	Жених — Невеста
Жену выбирай не глазами, а ушами (по доброй славе).	Жених — Невеста
Красную жену не в стенку врезать.	Жених — Невеста
Много выбирать — женатым не бывать.	Жених — Невеста
Бери, чтоб не каяться, жить в любви да не маяться.	Жених — Невеста
Не кайся, рано вставши; кайся, рано женившись.	Жених — Невеста
Не кайся, рано вставши да молод женившись.	Жених — Невеста
Выбирай корову по рогам, а девку по родам (по родителям).	Жених — Невеста
Бери жену с воли, а казака (работника) с Дону: проживешь без  урону.	Жених — Невеста
Кумишься — сватаешься, а проспишься — спохватишься.	Жених — Невеста
Жениться — не лапоть надеть.	Жених — Невеста
Жена не лапоть: с ноги не сбросишь.	Жених — Невеста
Жена не гусли: поиграв, на стенку не повесишь.	Жених — Невеста
Женитьба есть, а разженитьбы нет.	Жених — Невеста
Плохой (Глупый) поп свенчает, и хорошему (умному) не  развенчать.	Жених — Невеста
Вечное дело (женитьба), не часовое.	Жених — Невеста
Не шилю-пилю свадебку сыграть (псков.).	Жених — Невеста
Кто на борзом коне жениться поскачет, тот скоро поплачет.	Жених — Невеста
На горячей кляче (На резвом коне) жениться не езди.	Жених — Невеста
Свадьба скорая, что вода полая. Скорая женитьба — видимый  рок.	Жених — Невеста
Не женился молодец, (а) постригся.	Жених — Невеста
Добрая женитьба — посхименье.	Жених — Невеста
Женился, не постригся, а от посиделок отрекся.	Жених — Невеста
Ненадолго стар женится: только обычай тешит.	Жених — Невеста
Женился, да сам себе подивился.	Жених — Невеста
Женился скоро, да на долгое горе.	Жених — Невеста
Женился, как на льду обломился.	Жених — Невеста
Жаль девки, потеряли (сгубили) парня.	Жених — Невеста
Не заламывай рябинку не вызревшу; не сватай (не бери) девку  не вызнавши.	Жених — Невеста
У цыгана не купи лошади, у попа не бери дочери.	Жених — Невеста
Как женишься, так и ощенишься.	Жених — Невеста
Для щей люди женятся, а от добрых жен постригаются.	Жених — Невеста
Для щей люди женятся, а для мяса (во щах) замуж идут.	Жених — Невеста
Умный женится, а дура замуж идет (если свадьба пред  жнитвом).	Жених — Невеста
Не молодца любят, денежку.	Жених — Невеста
Женился, чтоб пшеница лучше родилась (т. е. на родне; по  поверью во Влад. губ.).	Жених — Невеста
Сороку взять — щекотлива; ворону взять — картавита; взять  ли, не взять сову госпожу.	Жених — Невеста
Идучи на войну, молись; идучи в море, молись вдвое; хочешь  жениться, молись втрое.	Жених — Невеста
Закон принять. Идти на суд божий (т. е. венчаться).	Жених — Невеста
Неровно вынется, замуж выйдется.	Жених — Невеста
Под чужой потолок подведут, так и другое имя дадут.	Жених — Невеста
Не та счастлива, которая у отца, а та счастлива, которая у  мужа.	Жених — Невеста
Весело покров проведешь, дружка найдешь (время свадеб).	Жених — Невеста
Покров пресвятая богородица! Покрой мою победную головку  жемчужным кокошником, золотым подзатыльничком!	Жених — Невеста
Мать (Батюшка) покров, покрой мать сыру землю и меня молоду!	Жених — Невеста
Матушка Прасковся, пошли жениха поскорее!	Жених — Невеста
Наши девки испужалнсь, все замуж побросались.	Жених — Невеста
Бабы каются, а девки замуж собираются.	Жених — Невеста
Торопится, как поповна замуж.	Жених — Невеста
Старого мужа соломкой прикрой, молодого сама отогрею.	Жених — Невеста
За старым жить — только век должить; за малым жить — только  маяться; за ровней жить — тешиться.	Жених — Невеста
Велик не под стать, и рукой не достать.	Жених — Невеста
Ждали из заморья, а прибыл из задворья (жених).	Жених — Невеста
Хоть за лыску (за лысого; искаж. хоть в Лысково), да близко.	Жених — Невеста
Хоть за нищего, да в Татищеве (в Конищево).	Жених — Невеста
Не купи лошадь ямскую, не бери девку пронскую (из Пронска).	Жених — Невеста
Не найдешь паренька — выйдешь и за пенька.	Жених — Невеста
Брагу сливай, не доквашивай; девку отдай, не доращивай!	Жених — Невеста
Хоть за вола, только б в дому не была.	Жених — Невеста
Пока ветры не обвеяли, да собака не облаяла, отдавай.	Жених — Невеста
Одна с хлеба долой (о замужней дочери).	Жених — Невеста
Девкой меньше, так бабой больше.	Жених — Невеста
Не вздыхай тяжело, не отдадим далеко.	Жених — Невеста
Не в полон отдают, а замуж берут.	Жених — Невеста
Для тягости родин жениху не отказывать стать.	Жених — Невеста
Тужит, горюет перепелочка: где-то мне зимовать будет.	Жених — Невеста
Как ни заплетай косу, девка, не миновать, что расплетать.	Жених — Невеста
Пошла руса коса из куга по лавочке (замуж).	Жених — Невеста
Просватанная, что проданная. Обрученная, что подаренная.	Жених — Невеста
Засватана, что запродана. Пропита — продана.	Жених — Невеста
Коли суженый урод, так будет у ворот (не миновать).	Жених — Невеста
У невесты женихов сто один, а достанется один.	Жених — Невеста
Сватались к девушке тридцать с одним, а быть ей за одним.	Жених — Невеста
Не всякий женится, кто присватался.	Жених — Невеста
Много женихов, да суженого нет.	Жених — Невеста
Много сватается, да одному достанется.	Жених — Невеста
Сватался, сватался, да и спрятался.	Жених — Невеста
Сватались, сватались, да все и попрятались.	Жених — Невеста
У нашего Макара (у Макарья, на ярмарке?) по три деньги  Натальи; а грош дай — любую выбирай.	Жених — Невеста
У нас невестам нет переводу.	Жених — Невеста
Его невесты на том свете козлов пасут.	Жених — Невеста
Ваше сужено, ваше богосулено (т. е. невеста).	Жених — Невеста
Всякая невеста для своего жениха родится.	Жених — Невеста
Кому на ком жениться, тот в того и родится.	Жених — Невеста
Невеста родится, жених на коня (на конь) садится.	Жених — Невеста
Дочку в колыбельку — приданое в коробейку.	Жених — Невеста
Взял Фома Лукерью, так суд божий пришел.	Жених — Невеста
Не тужи, красава, что за пьяницу попала (побьет, не воз  навьет, а волюшка своя).	Жених — Невеста
Досталася гадине виноградная ягода.	Жених — Невеста
До хорошего не дороется, до худого не перероется.	Жених — Невеста
Добьет нужа до худого мужа. Нету такого, выйдешь и за  всякого.	Жених — Невеста
Христа ради невест не выдают (не отдают; отв. неотвязчивой  свахе, которая упрашивает).	Жених — Невеста
Нет паренька, не отдашь за пенька.	Жених — Невеста
Послать стыжуся, а сам идти боюся (сватать).	Жених — Невеста
Дочку замуж выдать — не пирог испечь.	Жених — Невеста
На людей лапти плетут, и то ино не угождают, а девкой не  уноровишь (оправдание свахи).	Жених — Невеста
Не гляди на то, сам каков, а глядит на то, она какова.	Жених — Невеста
Кабы всякому по нраву (невесту), так бы и царства небесного  не надо.	Жених — Невеста
У девки догадки, у парня свои.	Жених — Невеста
Дочку сватать — за матушкой волочиться.	Жених — Невеста
Замуж выходи — в оба гляди.	Жених — Невеста
Жених (Невеста) что лошадь: товар темный.	Жених — Невеста
Исайя ликуй, а ты, девушка, не финтуй!	Жених — Невеста
Гуляй, покуда голова не покрыта. Своя волюшка (девке) у  батюшки.	Жених — Невеста
У батюшки (девка) промеж пальчиков, у мужа в руках.	Жених — Невеста
Покроют головушку, наложат заботушку.	Жених — Невеста
Замуж идет — песни поет, а вышла — слезы льет.	Жених — Невеста
Девки говорят: нам своя воля гулять; молодки говорят: нам  мужья не велят.	Жених — Невеста
Подруги косу плетут на часок, а сваха на век.	Жених — Невеста
Муж не башмак, с ноги не сбросишь.	Жених — Невеста
Старый муж ворчит-журит, раздевать, разувать велит.	Жених — Невеста
Невеста без места, жених без ума (без уса).	Жених — Невеста
Лучше на убогой жениться, чем с богатой браниться.	Жених — Невеста
Лучше на убогой жениться, чем век с богатою волочиться.	Жених — Невеста
Бесприданница — безответница.	Жених — Невеста
Женился богатый на сонливой: оба счастливы.	Жених — Невеста
Голик рощи да кузов земли (приданое).	Жених — Невеста
Приданого гребень, да веник, да алтын денег.	Жених — Невеста
И большое приданое не сделает мужа.	Жених — Невеста
Не жить приданым, а жить (с) богоданным.	Жених — Невеста
Была бы кость да тело, а платье сам делай (похвала  бесприданнице).	Жених — Невеста
Здравствуй, в красном: наживай голубой за мужниной головой  (красный, праздничный, а вышла замуж, думай, как работать станешь).	Жених — Невеста
Денежки на стол, и девушку за стол (о кладке, плате жениха).	Жених — Невеста
Весела за столом — не повой (не повыть бы) за столбом.	Жених — Невеста
Платье на грядке, а дурак (урод) на руке.	Жених — Невеста
Приданое в сундуке, а урод на руке.	Жених — Невеста
Ухожи велики — невесте в честь.	Жених — Невеста
Люди женятся, а у нас глаза светятся.	Сватовство
Выбирай не невесту, а сваху.	Сватовство
Сваха ходит собачьей тропой. Сваха лукавая, змея семиглавая.	Сватовство
Чужую сторону никто против свахи не нахвалит.	Сватовство
Сватают, так и хвастают. Сватать, так хвастать.	Сватовство
Сват с правдой не ездит. Никому против свахи не у хвастать.	Сватовство
Никто против свахи не соврет.	Сватовство
Одна только сваха за чужую душу божится.	Сватовство
Люди хвастают — не перелезешь; сват схвастает — на коне не  перескочишь.	Сватовство
Посвататься, как дровней попросить (легко).	Сватовство
В сватовстве спрашивают не о душе, а о душах.	Сватовство
Было бы хожено да лажено, а там хоть черт родись.	Сватовство
Свата (Сваху) не берут из того дома, где жених, а из-под  другой крыши (нижег.).	Сватовство
Не давай коня в соху, не пускай жену в свахи.	Сватовство
Сватовство — душегубство. Сваха чужие грехи на душу  принимает.	Сватовство
Выходя на сватовство, связывают вместе кочергу и помело  (курск.).	Сватовство
Входя в избу к невесте, сват берется рукой за голбец (за  столб печной, под полатями).	Сватовство
Пришли с добрым (за добрым) делом (сватать).	Сватовство
Не сидеть пришли, а с добрым словом.	Сватовство
Пришли в гости, не гостить, а пир подымать.	Сватовство
У вас товар, а у нас купец (жених).	Сватовство
На ваш товарец мы заморского купца найдем.	Сватовство
На товар нележалый купец неженатый.	Сватовство
Отдай за куницу (т. е. замест) красну девицу.	Сватовство
Бог вас спасет, что и нас из людей не выкинули (первый ответ  родителей невесты свату; нижег.).	Сватовство
Спасибо на любви, сват; а ныне отдавать девки не хотим  (отказ).	Сватовство
Молода: хлебом-солью отца-мать не объела.	Сватовство
Рано, девка-то молода еще: не из кута, в кут глядит.	Сватовство
У нас товар не продажный, не поспел.	Сватовство
Не по купцу товар. Не по товару купец.	Сватовство
Хлеб-соль берем, а запорученье на суд добрым людям отдаем.	Сватовство
Просим не прогневаться; ищите лучше нас.	Сватовство
Не рука вам товар наш, по себе найдете.	Сватовство
Не порогом мы поперек вас стали: есть лучше нас.	Сватовство
Свату либо спасибо, либо — вот так, да вот эдак.	Сватовство
Сходились — не бранились; дай бог разойтись, не браниться  (говор. свату).	Сватовство
Сват, так сват; а не сват — ин добрый человек (т. е. не  отдадите, так и не гневайтесь).	Сватовство
Люб, так сват; не люб — добрый человек.	Сватовство
Свату первая чарка и первая палка.	Сватовство
Сват свату холодный друг. Сват свату на пору друг.	Сватовство
Не за отца отдать, а за молодца.	Сватовство
Не нам с ним жить, а ей (говорят родители невесты).	Сватовство
Не женись для тещи, не выдавай для свекра.	Сватовство
Хочу вскочу, не хочу не вскочу (от обычая Тамб. губер.  приглашать невесту вскочить в юбку, поневу, которую носят одни замужние).	Сватовство
Сидеть маком (красоваться в девках).	Сватовство
Станешь гадать, как девку отдать (как придется девку  отдавать).	Сватовство
Был бы купец, а товар есть.	Сватовство
Дочь из нашего послушания не выходит (согласны отдать).	Сватовство
Воля батюшкина, нега матушкина (говорит невеста).	Сватовство
Для купца, удалого молодца, наша девица хоть куда (говор.  родители невесты).	Сватовство
Хлеб-соль берем, а вас пировать зовем (согласие на отдачу).	Сватовство
Хлеб-соль примаем, а вас под образа сажаем.	Сватовство
От добрых людей хлеб-соль примаем, а молодца на придачу.	Сватовство
Против божьей воли, против добрых людей не спорщики.	Сватовство
Рука дороже подноса (говор. сват, когда невеста потчует).	Сватовство
Купец здесь, а чего купить пришли, еще не видали (вызов  невесты).	Сватовство
Купец здесь, а товара не видно. Надо красный товар налицо.	Сватовство
Заглазного купца кнутом бьют: просим товар лицом показать.	Сватовство
Наше смотрите и свое покажите. Не смотренье, гляденье.	Сватовство
Просим наших детей посмотреть и своих показать.	Сватовство
Выдь на крыльцо, покажи свое белое лицо.	Сватовство
Вы видели сокола, покажите ж нам сизу голубку (или: куницу).	Сватовство
Суженого примите, а ряженую подайте.	Сватовство
Невеста не то, что бы в окошко подать, а хоть кому угодно на  ладонке поднести.	Сватовство
Моя девка умнешенька, прядет тонешенько, точёт чистешенько,  белит белешенько.	Сватовство
Квашня плоха, да притвор-то гож (если невеста не в мать, а в  отца).	Сватовство
Жениху да невесте сто лет, да вместе.	Сватовство
Ваш товар нам люб; люб ли вам наш? (говор. сват отцу  невесты).	Сватовство
В нашем жите хорош росток (о женихе).	Сватовство
И в нашей пшенице нет торицы (о невесте).	Сватовство
Не спорьте о приданом, после прибавим.	Сватовство
Посоветуемся с родными, дайте подумать (желанный ответ  свахе).	Сватовство
Престнями переменяться, золотой чарой переливаться.	Сватовство
Быть на винной чарке, на первых сидинах (на смотринах).	Сватовство
Батюшка, пей, да дочери не пропей!	Сватовство
Заливать невесту (окончательно просватать).	Сватовство
Пропитая — залитая.	Сватовство
Переломить пирог (просватать девку рукобитьем; сват  переносит пирог трижды через руки отцов, ломает и дает им по куску. Яросл.).	Сватовство
Как под крестом (под благословением), так и под венцом.	Сватовство
Свет моя руса коса, моя девья краса (плачет невеста, хотя и  желает выйти замуж).	Сватовство
Или я вам не слуга была, или не работница?	Сватовство
Аль я сосновый пол протоптала, дубовы лавки просидела?	Сватовство
Не давай мое бело рукодсльице чужим людям на поруганьице.	Сватовство
День плакать, а век радоваться (желание подруг невесты).	Сватовство
Не плачет за столом, наплачется за столбом (невеста на  девичнике должна плакать).	Сватовство
Не навоешься за столом, так наревешься за столбом.	Сватовство
У хорошей невесты по семи подруг (по обычаю в Курск.).	Сватовство
Кто на невесту шьет, помолодеет.	Сватовство
Я иду, и вы идете за мною (говорит невеста, дергая скатерть  за угол, отчего прочие девки скоро выходят замуж).	Сватовство
Жених невесту покрытую узнает (на девичнике).	Сватовство
Жених пожимает невесте ноги и руки, чтоб она была кротка.	Сватовство
Шляпу на колке забыл (кричат вслед жениху, призывая его по  уходе гостей проститься с невестой).	Сватовство
Девка после сговора на улицу, ни в церковь не ходит.	Свадьба
Пошла смывать девьи гульбы, прохладушки (предсвадебная  баня).	Свадьба
На мыльце, белильце, на шелковом веничке, малиновом паре  (благодарность за баню).	Свадьба
Чтоб молодой не бил жены своей, не бить клюкой головешку в  бане (на молодых).	Свадьба
Выбирай такого дружку, чтоб загадки разгадывал (женихов  поезд не впускается в избу невесты, доколе не разгадают всех предложенных  подругами загадок. Псков.).	Свадьба
Кунами ли богаты, ногами ли (т. е. силою) доступны до нашего  дитяти? (Вопрос родственников невесты на стук тысяцкого у ворот; ответ: «И  кунами и ногами».)	Свадьба
На загадки идешь аль на золоту казну (т. е.откупаешься)?	Свадьба
Пожалуйте мне невесту, уступите место! (Дружка.)	Свадьба
Невесту срядите, вперед посадите, а нам ворота отворите.	Свадьба
С добрыми речьми милости просим (говор. родит. невесты  дружке).	Свадьба
Сват, не сват, а добрый человек (слова отца невесты,  впускающего жениха с поездом).	Свадьба
Коли рады гостям, так встретите и за воротами (ответ свахи,  которую просят на двор).	Свадьба
Обменялись свахи пряником и пивом.	Свадьба
Что говорено, то и привезено (дружка привез невесте одежу).	Свадьба
Купите четыре угла, дайте четыре рубля, пятый на середку  (гов. сваха, привезшая приданое).	Свадьба
У меня место не ковшевое, а столбовое (ответ свахи жениху,  который говорит: «Ковшик прими, а местечно опростай»).	Свадьба
Торгую не лисицами, не куницами, не атласом, не бархатом, а  торгую девичьей красотой (слова продавца невесты за столом).	Свадьба
Куницу, лисицу, золотую гривну на стакан вина (просят за  выкуп невесты).	Свадьба
Пей-ка, попей-ка, на дне-то копейка, а еще попьешь, и грош  найдешь (дружка выкупает невесту).	Свадьба
На дружке шапчонка после дядюшки Парфенка; на дружке  штанишки после дяди Микишки, на дружке кафтанишка с банного помелишка (девки  поют дружке за похищение у них подруги, невесты).	Свадьба
